Location	Bout	Filename	Date	Time	Manualcount	datetime	timemin	Playback	daysbait	Temp	Humidity	Lux	UVI	Rain	Wind
Alang	pm	Alang_NoFufun_3140109	14.03.2023	12:58	0	2023/03/14:12:58:19	778	no	2	30	84	116328.3	8	0	13
Alang	pm	Alang_NoFufun_3140112	14.03.2023	13:00	0	2023/03/14:13:00:40	781	no	2	30.1	84	116713.5	8	0	11.1
Alang	pm	Alang_NoFufun_3140115	14.03.2023	13:03	0	2023/03/14:13:03:53	784	no	2	30.1	84	116713.5	8	0	11.1
Alang	pm	Alang_NoFufun_3140118	14.03.2023	13:06	0	2023/03/14:13:06:21	786	no	2	30.2	83	116934	8	0	16.6
Alang	pm	Alang_NoFufun_3140121	14.03.2023	13:10	0	2023/03/14:13:10:54	791	no	2	30	84	115570.7	8	0	16.6
Alang	pm	Alang_NoFufun_3140124	14.03.2023	13:13	0	2023/03/14:13:13:16	793	no	2	30	84	115570.7	8	0	16.6
Alang	pm	Alang_NoFufun_3140127	14.03.2023	13:16	0	2023/03/14:13:16:09	796	no	2	29.7	84	115612.5	8	0	14.8
Alang	pm	Alang_NoFufun_3140130	14.03.2023	13:18	0	2023/03/14:13:18:37	799	no	2	29.7	84	115612.5	8	0	14.8
Alang	pm	Alang_NoFufun_3140133	14.03.2023	13:21	0	2023/03/14:13:21:03	801	no	2	30	84	115498.5	8	0	14.8
Alang	pm	Alang_NoFufun_3140136	14.03.2023	13:24	0	2023/03/14:13:24:58	805	no	2	30	84	115498.5	8	0	14.8
Alang	pm	Alang_NoFufun_3140139	14.03.2023	13:27	0	2023/03/14:13:27:21	807	no	2	29.7	85	114966.3	8	0	14.8
Alang	pm	Alang_NoFufun_3140142	14.03.2023	13:31	0	2023/03/14:13:31:31	812	no	2	30.1	84	115323.6	8	0	13
Alang	pm	Alang_NoFufun_3140145	14.03.2023	13:37	0	2023/03/14:13:37:00	817	no	2	30.5	83	114807.9	8	0	7.2
Alang	pm	Alang_NoFufun_3140148	14.03.2023	13:39	0	2023/03/14:13:39:19	819	no	2	30.5	83	114807.9	8	0	7.2
Alang	pm	Alang_NoFufun_3140151	14.03.2023	13:42	0	2023/03/14:13:42:58	823	no	2	30.4	83	114198.5	8	0	11.1
Alang	pm	Alang_NoFufun_3140154	14.03.2023	13:45	0	2023/03/14:13:45:31	826	no	2	30.3	84	113335.7	8	0	11.1
Alang	pm	Alang_NoFufun_3140157	14.03.2023	13:49	0	2023/03/14:13:49:12	829	no	2	30.3	84	113335.7	8	0	11.1
Alang	pm	Alang_NoFufun_3140160	14.03.2023	13:54	0	2023/03/14:13:54:23	834	no	2	30.4	82	113018.9	8	0	13
Alang	pm	Alang_NoFufun_3140163	14.03.2023	13:59	0	2023/03/14:13:59:08	839	no	2	29.8	83	112731.3	8	0	13
Alang	pm	Alang_NoFufun_3140166	14.03.2023	14:06	0	2023/03/14:14:06:37	847	no	2	30.3	82	114943.5	8	0	9.3
Alang	pm	Alang_NoFufun_3140169	14.03.2023	14:09	0	2023/03/14:14:09:32	850	no	2	30.3	82	114943.5	8	0	9.3
Alang	pm	Alang_NoFufun_3140172	14.03.2023	14:14	0	2023/03/14:14:14:35	855	no	2	30.5	81	120387.8	9	0	7.2
Alang	pm	Alang_NoFufun_3140175	14.03.2023	18:05	0	2023/03/14:18:05:40	1086	no	2	27	93	5040.1	0	0	1.8
Alang	am	Alang_Fufun_1_3150178	15.03.2023	07:08	2	2023/03/15:07:08:47	429	no	3	25.4	99	6052.5	0	0	0
Alang	am	Alang_Fufun_3_3150181	15.03.2023	07:11	3	2023/03/15:07:11:26	431	no	3	26.1	99	6584.6	0	0	0
Alang	am	Alang_Fufun_2_3150184	15.03.2023	07:17	2	2023/03/15:07:17:29	437	no	3	26.3	99	7062.3	0	0	0
Alang	am	Alang_NoFufun_3150187	15.03.2023	07:33	0	2023/03/15:07:33:47	454	no	3	27.1	95	10398.3	0	0	0
Alang	am	Alang_Fufun_2_3150190	15.03.2023	07:36	2	2023/03/15:07:36:10	456	no	3	27.4	95	12799.2	0	0	0
Alang	am	Alang_Fufun_5_3150193	15.03.2023	07:38	5	2023/03/15:07:38:36	459	no	3	27.4	95	12799.2	0	0	0
Alang	am	Alang_Fufun_1_3150196	15.03.2023	07:40	1	2023/03/15:07:40:55	461	no	3	27.8	95	16265.7	1	0	1.8
Alang	am	Alang_Fufun_4_3150199	15.03.2023	07:43	4	2023/03/15:07:43:13	463	no	3	27.8	95	16265.7	1	0	1.8
Alang	am	Alang_Fufun_5_3150202	15.03.2023	07:45	5	2023/03/15:07:45:37	466	no	3	27.7	94	18537.5	1	0	0
Alang	am	Alang_Fufun_3_3150205	15.03.2023	07:47	3	2023/03/15:07:47:55	468	no	3	27.7	94	18537.5	1	0	0
Alang	am	Alang_Fufun_4_3150208	15.03.2023	07:50	4	2023/03/15:07:50:16	470	no	3	27.8	94	21475.7	1	0	1.8
Alang	am	Alang_Fufun_2_3150211	15.03.2023	07:52	2	2023/03/15:07:52:38	473	no	3	27.8	94	21475.7	1	0	1.8
Alang	am	Alang_Fufun_2_3150214	15.03.2023	07:55	3	2023/03/15:07:55:01	475	no	3	28	94	24002	1	0	0
Alang	am	Alang_Fufun_3_3150217	15.03.2023	07:57	3	2023/03/15:07:57:25	477	no	3	28	94	24002	1	0	0
Alang	am	Alang_Fufun_2_3150220	15.03.2023	07:59	3	2023/03/15:07:59:44	480	no	3	28	94	24002	1	0	0
Alang	am	Alang_Fufun_3_3150223	15.03.2023	08:02	3	2023/03/15:08:02:04	482	no	3	28.2	93	26219.3	2	0	3.5
Alang	am	Alang_Fufun_2_3150226	15.03.2023	08:04	3	2023/03/15:08:04:31	485	no	3	28.2	93	26219.3	2	0	3.5
Alang	am	Alang_Fufun_2_3150229	15.03.2023	08:07	2	2023/03/15:08:07:08	487	no	3	27.9	93	28692.5	2	0	3.5
Alang	am	Alang_Fufun_1_3150232	15.03.2023	08:09	1	2023/03/15:08:09:28	489	no	3	27.9	93	28692.5	2	0	3.5
Alang	am	Alang_Fufun_4_3150235	15.03.2023	08:11	4	2023/03/15:08:11:47	492	no	3	28.1	93	30797	2	0	1.8
Alang	am	Alang_Fufun_2_3150238	15.03.2023	08:14	2	2023/03/15:08:14:06	494	no	3	28.1	93	30797	2	0	1.8
Alang	am	Alang_NoFufun_3150241	15.03.2023	08:17	0	2023/03/15:08:17:23	497	no	3	28.3	93	33959.4	2	0	3.5
Alang	am	Alang_NoFufun_3150244	15.03.2023	09:29	0	2023/03/15:09:29:59	570	no	3	28.2	91	26210.4	2	0	1.8
Alang	am	Alang_NoFufun_3150247	15.03.2023	09:59	0	2023/03/15:09:59:19	599	no	3	28.2	89	105053.3	8	0	9.3
Alang	am	Alang_NoFufun_3150250	15.03.2023	10:22	0	2023/03/15:10:22:02	622	no	3	28.8	85	64917.3	4	0	9.3
Alang	am	Alang_NoFufun_3150253	15.03.2023	10:24	0	2023/03/15:10:24:22	624	no	3	28.8	85	64917.3	4	0	9.3
Alang	am	Alang_NoFufun_3150256	15.03.2023	10:33	0	2023/03/15:10:33:25	633	no	3	29.3	86	112028.1	8	0	9.3
Alang	am	Alang_NoFufun_3150259	15.03.2023	10:35	0	2023/03/15:10:35:47	636	no	3	29.6	84	116096.5	8	0	11.1
Alang	am	Alang_NoFufun_3150262	15.03.2023	10:38	0	2023/03/15:10:38:10	638	no	3	29.6	84	116096.5	8	0	11.1
Alang	am	Alang_NoFufun_3150265	15.03.2023	11:09	0	2023/03/15:11:09:04	669	no	3	28.6	87	73061.6	5	0	11.1
Alang	am	Alang_NoFufun_3150268	15.03.2023	11:21	0	2023/03/15:11:21:35	682	no	3	29.1	85	133719.2	10	0	7.2
Alang	am	Alang_NoFufun_3150271	15.03.2023	11:31	0	2023/03/15:11:31:12	691	no	3	28.6	84	136196.2	10	0	11.1
Alang	am	Alang_NoFufun_3150274	15.03.2023	11:34	0	2023/03/15:11:34:11	694	no	3	28.6	84	136196.2	10	0	11.1
Alang	am	Alang_NoFufun_3150277	15.03.2023	11:36	0	2023/03/15:11:36:49	697	no	3	28.9	85	135072.3	10	0	7.2
Alang	am	Alang_NoFufun_3150280	15.03.2023	11:39	0	2023/03/15:11:39:46	700	no	3	28.9	85	135072.3	10	0	7.2
Alang	am	Alang_NoFufun_3150283	15.03.2023	11:42	0	2023/03/15:11:42:43	703	no	3	29.4	83	132221.6	10	0	13
Alang	am	Alang_NoFufun_3150286	15.03.2023	11:45	0	2023/03/15:11:45:05	705	no	3	29.5	82	126184.3	9	0	13
Alang	am	Alang_NoFufun_3150289	15.03.2023	11:47	0	2023/03/15:11:47:30	707	no	3	29.5	82	126184.3	9	0	13
Alang	am	Alang_NoFufun_3150292	15.03.2023	11:50	0	2023/03/15:11:50:24	710	no	3	29.5	82	129772.5	9	0	11.1
Alang	am	Alang_NoFufun_3150295	15.03.2023	11:53	0	2023/03/15:11:53:44	714	no	3	29.5	82	129772.5	9	0	11.1
Alang	am	Alang_NoFufun_3150298	15.03.2023	11:56	0	2023/03/15:11:56:38	717	no	3	29.2	82	132214	10	0	11.1
Alang	am	Alang_NoFufun_3150301	15.03.2023	11:58	0	2023/03/15:11:58:57	719	no	3	29.2	82	132214	10	0	11.1
Alang	pm	Alang_NoFufun_3150304	15.03.2023	12:01	0	2023/03/15:12:01:39	722	no	3	29.3	82	137915.5	10	0	9.3
Alang	pm	Alang_NoFufun_3150307	15.03.2023	12:08	0	2023/03/15:12:08:15	728	no	3	29.7	82	146580.5	11	0	18.3
Alang	pm	Alang_NoFufun_3150310	15.03.2023	12:10	0	2023/03/15:12:10:47	731	no	3	29.4	83	152085.6	11	0	21.9
Alang	pm	Alang_NoFufun_3150313	15.03.2023	12:13	0	2023/03/15:12:13:05	733	no	3	29.4	83	152085.6	11	0	21.9
Alang	pm	Alang_Fufun_2_3150316	15.03.2023	14:54	2	2023/03/15:14:54:33	895	no	3	24.2	99	24640.6	1	0	7.2
Alang	pm	Alang_Fufun_2_3150319	15.03.2023	14:56	2	2023/03/15:14:56:53	897	no	3	24.1	99	25575.7	1	0	11.1
Alang	pm	Alang_Fufun_2_3150322	15.03.2023	14:59	2	2023/03/15:14:59:18	899	no	3	24.1	99	25575.7	1	0	11.1
Alang	pm	Alang_Fufun_2_3150325	15.03.2023	15:01	2	2023/03/15:15:01:52	902	no	3	24.2	99	25868.3	1	0	9.3
Alang	pm	Alang_Fufun_2_3150328	15.03.2023	15:07	2	2023/03/15:15:07:29	907	no	3	24.2	99	24084.4	1	0	3.5
Alang	pm	Alang_Fufun_2_3150331	15.03.2023	15:11	2	2023/03/15:15:11:01	911	no	3	24.2	99	21024.6	1	0	7.2
Alang	pm	Alang_Fufun_2_3150334	15.03.2023	15:13	2	2023/03/15:15:13:44	914	no	3	24.2	99	21024.6	1	0	7.2
Alang	pm	Alang_Fufun_2_3150337	15.03.2023	15:16	2	2023/03/15:15:16:05	916	no	3	24.2	99	22751.5	1	0	9.3
Alang	pm	Alang_Fufun_2_3150340	15.03.2023	15:18	2	2023/03/15:15:18:24	918	no	3	24.2	99	22751.5	1	0	9.3
Alang	pm	Alang_Fufun_2_3150343	15.03.2023	15:23	2	2023/03/15:15:23:30	924	no	3	24.3	99	25052.4	1	0	3.5
Alang	pm	Alang_Fufun_2_3150346	15.03.2023	15:26	2	2023/03/15:15:26:55	927	no	3	24.3	99	27642.1	2	0	3.5
Alang	pm	Alang_Fufun_2_3150349	15.03.2023	15:29	2	2023/03/15:15:29:40	930	no	3	24.3	99	27642.1	2	0	3.5
Alang	am	Alang_NoFufun_3160352	16.03.2023	06:56	0	2023/03/16:06:56:05	416	no	4	23.5	99	4372.4	0	0	1.8
Alang	am	Alang_Fufun_1_3160355	16.03.2023	07:00	1	2023/03/16:07:00:34	421	no	4	23.9	99	4989.4	0	0	3.5
Alang	am	Alang_Fufun_1_3160358	16.03.2023	07:02	1	2023/03/16:07:02:53	423	no	4	23.9	99	4989.4	0	0	3.5
Alang	am	Alang_Fufun_2_3160361	16.03.2023	07:05	2	2023/03/16:07:05:14	425	no	4	24.3	99	5905.5	0	0	3.5
Alang	am	Alang_Fufun_2_3160364	16.03.2023	07:07	2	2023/03/16:07:07:38	428	no	4	24.3	99	5905.5	0	0	3.5
Alang	am	Alang_NoFufun_3160367	16.03.2023	07:10	0	2023/03/16:07:10:24	430	no	4	24.5	99	6574.5	0	0	1.8
Alang	am	Alang_Fufun_2_3160370	16.03.2023	07:12	2	2023/03/16:07:12:45	433	no	4	24.5	99	6574.5	0	0	1.8
Alang	am	Alang_Fufun_2_3160373	16.03.2023	07:15	2	2023/03/16:07:15:10	435	no	4	24.7	99	7334.7	0	0	0
Alang	am	Alang_Fufun_2_3160376	16.03.2023	07:17	2	2023/03/16:07:17:38	438	no	4	24.7	99	7334.7	0	0	0
Alang	am	Alang_NoFufun_3160379	16.03.2023	07:20	0	2023/03/16:07:20:01	440	no	4	24.9	99	8272.2	0	0	0
Alang	am	Alang_Fufun_2_3160382	16.03.2023	07:23	2	2023/03/16:07:23:10	443	no	4	24.9	99	8272.2	0	0	0
Alang	am	Alang_Fufun_3_3160385	16.03.2023	07:26	3	2023/03/16:07:26:29	446	no	4	25.2	99	8591.5	0	0	0
Alang	am	Alang_NoFufun_3160388	16.03.2023	07:29	0	2023/03/16:07:29:08	449	no	4	25.2	99	8591.5	0	0	0
Alang	am	Alang_Fufun_1_3160391	16.03.2023	07:31	1	2023/03/16:07:31:40	452	no	4	25.2	99	8924.7	0	0	0
Alang	am	Alang_Fufun_2_3160394	16.03.2023	07:34	2	2023/03/16:07:34:20	454	no	4	25.2	99	8924.7	0	0	0
Alang	am	Alang_Fufun_2_3160397	16.03.2023	07:36	2	2023/03/16:07:36:39	457	no	4	24.9	99	10523.7	0	0	1.8
Alang	am	Alang_Fufun_2_3160400	16.03.2023	07:39	2	2023/03/16:07:39:04	459	no	4	24.9	99	10523.7	0	0	1.8
Alang	am	Alang_NoFufun_3160403	16.03.2023	10:21	0	2023/03/16:10:21:36	622	no	4	28.8	90	105949.1	8	0	3.5
Alang	pm	Alang_NoFufun_3160406	16.03.2023	12:01	0	2023/03/16:12:01:45	722	no	4	28.9	86	126227.4	9	0	5.5
Alang	pm	Alang_NoFufun_3160409	16.03.2023	12:06	0	2023/03/16:12:06:07	726	no	4	29.1	85	108946.8	8	0	5.5
Alang	pm	Alang_NoFufun_3160412	16.03.2023	12:16	0	2023/03/16:12:16:34	737	no	4	29.1	86	82702.2	6	0	7.2
Alang	pm	Alang_NoFufun_3160415	16.03.2023	12:32	0	2023/03/16:12:32:29	752	no	4	29.3	82	122660.8	9	0	11.1
Alang	pm	Alang_NoFufun_3160418	16.03.2023	15:45	0	2023/03/16:15:45:33	946	no	4	29	88	66871	5	0	9.3
Alang	pm	Alang_Fufun_1_3160421	16.03.2023	17:02	1	2023/03/16:17:02:13	1022	no	4	27.2	93	20375.9	1	0	7.2
Alang	pm	Alang_Fufun_1_3160424	16.03.2023	17:07	1	2023/03/16:17:07:36	1028	no	4	27	94	19453.5	1	0	5.5
Alang	pm	Alang_NoFufun_3160427	16.03.2023	17:12	0	2023/03/16:17:12:21	1032	no	4	27	94	17815.3	1	0	5.5
Alang	pm	Alang_Fufun_1_3160430	16.03.2023	17:14	1	2023/03/16:17:14:41	1035	no	4	27	94	17815.3	1	0	5.5
Alang	pm	Alang_Fufun_1_3160433	16.03.2023	17:17	2	2023/03/16:17:17:00	1037	no	4	27	95	16170.7	1	0	3.5
Alang	pm	Alang_Fufun_1_3160436	16.03.2023	17:19	1	2023/03/16:17:19:19	1039	no	4	27	95	16170.7	1	0	3.5
Alang	pm	Alang_Fufun_1_3160439	16.03.2023	17:22	1	2023/03/16:17:22:19	1042	no	4	27	95	17045	1	0	3.5
Alang	pm	Alang_Fufun_1_3160442	16.03.2023	17:29	1	2023/03/16:17:29:59	1050	no	4	26.9	94	17679.7	1	0	1.8
Alang	pm	Alang_Fufun_2_3160445	16.03.2023	17:38	2	2023/03/16:17:38:26	1058	no	4	27	94	11220.6	0	0	3.5
Alang	pm	Alang_Fufun_2_3160448	16.03.2023	17:40	2	2023/03/16:17:40:54	1061	no	4	26.8	94	9220	0	0	3.5
Alang	pm	Alang_Fufun_2_3160451	16.03.2023	17:43	2	2023/03/16:17:43:26	1063	no	4	26.8	94	9220	0	0	3.5
Alang	pm	Alang_Fufun_1_3160454	16.03.2023	17:48	1	2023/03/16:17:48:23	1068	no	4	26.8	94	8249.4	0	0	3.5
Alang	pm	Alang_Fufun_2_3160457	16.03.2023	17:50	2	2023/03/16:17:50:44	1071	no	4	26.7	96	7099	0	0	1.8
Alang	pm	Alang_Fufun_2_3160460	16.03.2023	17:53	2	2023/03/16:17:53:48	1074	no	4	26.7	96	7099	0	0	1.8
Alang	pm	Alang_Fufun_2_3160463	16.03.2023	17:56	2	2023/03/16:17:56:28	1076	no	4	26.7	96	6051.2	0	0	1.8
Alang	pm	Alang_Fufun_1_3160466	16.03.2023	17:59	1	2023/03/16:17:59:09	1079	no	4	26.7	96	6051.2	0	0	1.8
Alang	pm	Alang_Fufun_2_3160469	16.03.2023	18:01	2	2023/03/16:18:01:33	1082	no	4	26.7	96	5092.1	0	0	3.5
Alang	pm	Alang_NoFufun_3160472	16.03.2023	18:03	1	2023/03/16:18:03:53	1084	no	4	26.7	96	5092.1	0	0	3.5
Alang	pm	Alang_Fufun_1_3160475	16.03.2023	18:07	1	2023/03/16:18:07:52	1088	no	4	26.6	96	3751.6	0	0	3.5
Alang	pm	Alang_Fufun_3_3160478	16.03.2023	18:10	3	2023/03/16:18:10:10	1090	no	4	26.5	96	2611.3	0	0	1.8
Alang	pm	Alang_Fufun_3_3160481	16.03.2023	18:12	3	2023/03/16:18:12:29	1092	no	4	26.5	96	2611.3	0	0	1.8
Alang	pm	Alang_Fufun_3_3160484	16.03.2023	18:14	3	2023/03/16:18:14:54	1095	no	4	26.5	96	2611.3	0	0	1.8
Alang	pm	Alang_Fufun_3_3160487	16.03.2023	18:17	3	2023/03/16:18:17:32	1098	no	4	26.4	97	1966.4	0	0	0
Alang	pm	Alang_Fufun_2_3160490	16.03.2023	18:19	2	2023/03/16:18:19:50	1100	no	4	26.4	97	1966.4	0	0	0
Alang	am	Alang_Fufun_1_3170493	17.03.2023	06:45	1	2023/03/17:06:45:32	406	no	5	24.5	99	3518.5	0	0	0
Alang	am	Alang_Fufun_3_3170496	17.03.2023	06:47	3	2023/03/17:06:47:51	408	no	5	24.5	99	3518.5	0	0	0
Alang	am	Alang_Fufun_3_3170499	17.03.2023	06:50	3	2023/03/17:06:50:13	410	no	5	24.3	99	4007.5	0	0	0
Alang	am	Alang_Fufun_2_3170502	17.03.2023	06:52	2	2023/03/17:06:52:31	413	no	5	24.3	99	4007.5	0	0	0
Alang	am	Alang_Fufun_3_3170505	17.03.2023	06:58	3	2023/03/17:06:58:49	419	no	5	24.4	99	4372.4	0	0	0
Alang	am	Alang_Fufun_3_3170508	17.03.2023	07:01	3	2023/03/17:07:01:16	421	no	5	24.7	99	4791.8	0	0	0
Alang	am	Alang_Fufun_2_3170511	17.03.2023	07:03	3	2023/03/17:07:03:35	424	no	5	24.7	99	4791.8	0	0	0
Alang	am	Alang_Fufun_2_3170514	17.03.2023	07:06	3	2023/03/17:07:06:11	426	no	5	25.1	99	5226.4	0	0	1.8
Alang	am	Alang_Fufun_2_3170517	17.03.2023	07:08	2	2023/03/17:07:08:38	429	no	5	25.1	99	5226.4	0	0	1.8
Alang	am	Alang_Fufun_3_3170520	17.03.2023	07:10	3	2023/03/17:07:10:58	431	no	5	25.3	99	6194.4	0	0	1.8
Alang	am	Alang_Fufun_3_3170523	17.03.2023	07:13	3	2023/03/17:07:13:32	434	no	5	25.3	99	6194.4	0	0	1.8
Alang	am	Alang_Fufun_1_3170526	17.03.2023	07:16	1	2023/03/17:07:16:40	437	no	5	25.5	99	7447.4	0	0	3.5
Alang	am	Alang_NoFufun_3170529	17.03.2023	07:40	0	2023/03/17:07:40:40	461	no	5	26.6	98	16272.1	1	0	1.8
Alang	am	Alang_Fufun_2_3170532	17.03.2023	07:43	2	2023/03/17:07:43:00	463	no	5	26.6	98	16272.1	1	0	1.8
Alang	am	Alang_Fufun_2_3170535	17.03.2023	07:45	3	2023/03/17:07:45:36	466	no	5	26.9	98	18206.8	1	0	5.5
Alang	am	Alang_Fufun_2_3170538	17.03.2023	07:47	3	2023/03/17:07:47:55	468	no	5	26.9	98	18206.8	1	0	5.5
Alang	am	Alang_Fufun_2_3170541	17.03.2023	07:50	2	2023/03/17:07:50:14	470	no	5	27	97	20652.1	1	0	3.5
Alang	am	Alang_Fufun_3_3170544	17.03.2023	07:52	3	2023/03/17:07:52:32	473	no	5	27	97	20652.1	1	0	3.5
Alang	am	Alang_Fufun_3_3170547	17.03.2023	07:54	3	2023/03/17:07:54:57	475	no	5	27	97	20652.1	1	0	3.5
Alang	am	Alang_Fufun_4_3170550	17.03.2023	07:57	4	2023/03/17:07:57:15	477	no	5	27.3	96	23153.2	1	0	3.5
Alang	am	Alang_Fufun_2_3170553	17.03.2023	07:59	2	2023/03/17:07:59:44	480	no	5	27.3	96	23153.2	1	0	3.5
Alang	am	Alang_Fufun_3_3170556	17.03.2023	08:02	4	2023/03/17:08:02:12	482	no	5	27.4	95	26052.1	2	0	3.5
Alang	am	Alang_NoFufun_3170559	17.03.2023	09:30	0	2023/03/17:09:30:13	570	no	5	29	85	48049.7	3	0	1.8
Alang	am	Alang_NoFufun_3170562	17.03.2023	09:33	0	2023/03/17:09:33:01	573	no	5	29	85	48049.7	3	0	1.8
Alang	am	Alang_NoFufun_3170565	17.03.2023	09:43	0	2023/03/17:09:43:20	583	no	5	29	84	72430.6	5	0	5.5
Alang	am	Alang_NoFufun_3170568	17.03.2023	09:52	0	2023/03/17:09:52:36	593	no	5	29.8	83	86594.4	6	0	1.8
Alang	am	Alang_NoFufun_3170571	17.03.2023	10:50	0	2023/03/17:10:50:48	651	no	5	30.3	83	116082.5	8	0	5.5
Alang	am	Alang_NoFufun_3170574	17.03.2023	10:53	0	2023/03/17:10:53:28	653	no	5	30.3	83	116082.5	8	0	5.5
Alang	am	Alang_NoFufun_3170577	17.03.2023	10:55	0	2023/03/17:10:55:57	656	no	5	30.5	81	119729	9	0	5.5
Alang	am	Alang_NoFufun_3170580	17.03.2023	10:59	0	2023/03/17:10:59:20	659	no	5	30.5	81	119729	9	0	5.5
